remaining,cic_raw,cadence_log,poc,loc,prior_penalty,spokenness,confidence,realm,id,retain,status,title
73.68,95.0,8.243038048686294,22.0,0.0,0.0,25.0,0.7,earth,aerobe_before_photosynthesis,False,structural_synthesis,Named sequence reversed: some aerobes exist in genomes BEFORE photosynthesis
50.59,95.0,7.8750612633917,22.0,0.0,0.28,40.0,0.72,space,lrd_black_hole_star_phase,False,unproved_claim,Little red dots named as a class; Aug 2026 evidence they are a transient PHASE (black-hole-star / hidden host)
48.44,58.42598031501935,1.2218487496163564,22.0,25.22570011020275,0.0,15.0,0.75,animals,cryptic_species_morph_clock,False,documented_gap,Each morphological insect species conceals ~3.1 cryptic species
42.85,49.546814819810066,2.6532125137753435,0.0,25.22570011020275,0.0,20.0,0.86,animals,insect_dark_taxa_loc,False,documented_gap,Insect dark taxa: ~80% unnamed; description clock ~450 yr; unnamed species are more extinction-prone
42.64,79.4261082935865,4.301029995663981,22.0,0.0,0.28,45.0,0.77,humans,dark_genome_two_clocks,False,documented_gap,Dark genome: biochemical-assay clock vs evolutionary-selection clock disagree on 'function'
33.82,58.390371637037205,1.6989700043360187,0.0,24.8164799306237,0.28,20.0,0.73,land,soil_prokaryote_function,False,documented_gap,Functions of most soil-relevant prokaryotic species remain unknown
30.2,95.0,6.221848749616356,22.0,0.0,0.56,40.0,0.68,earth,inner_core_state_as_class,False,documented_gap,Inner core named 'solid'; 2025 evidence it is transforming
25.84,73.0,7.954242509439325,0.0,0.0,0.56,50.0,0.95,earth,kola_contact_fraction,False,known_fact,Direct sample 0.19% of the way to the core
25.01,73.0,8.602059991327963,0.0,0.0,0.56,30.0,0.74,earth,crustal_radiolytic_oxygen,False,documented_gap,Crustal dark oxygen in 1.2-Gyr brine (Moab Khotsong) — observed; biology vs radiolysis unproved
21.59,39.092774960253166,2.3010299956639813,0.0,0.0,0.28,55.0,0.9,ocean,deep_seafloor_unseen,False,known_fact,Deep seafloor visually observed: <0.001%
21.22,61.073891706413505,4.698970004336019,0.0,0.0,0.56,35.0,0.8,earth,deep_biosphere_generation_clock,False,documented_gap,Deep-biosphere cells: generation times of tens to thousands of years; expeditions sample days
17.96,36.33333333333333,2.0,0.0,0.0,0.28,55.0,0.7,earth,geomagnetic_reversal_unwatched,False,documented_gap,Geomagnetic reversal: process kyr-scale; never watched; simulations decades from realistic
15.67,45.5,3.0,0.0,0.0,0.56,40.0,0.82,land,microbial_uncultured_fraction,False,known_fact,87–99% of microbial diversity remains uncultured across habitats
14.34,42.74055837308018,2.6989700043360187,0.0,0.0,0.56,60.0,0.93,ocean,seafloor_mapping_residual,False,known_fact,Global seafloor mapped to modern standards: 28.7% (Apr 2026)
10.31,89.77629502962947,5.301029995663981,0.0,23.1835200693763,0.85,40.0,0.78,ocean,hadal_microbiome,True,documented_gap,"Hadal microbiome: 7,564 species, ~90% new"
6.97,92.24055837308018,5.698970004336019,22.0,0.0,0.85,80.0,0.4,ocean,nodule_dark_oxygen,True,unproved_claim,"Nodule 'dark oxygen' (Sweetman 2024) — contested, editor's note"
6.87,73.0,8.662757831681574,0.0,0.0,0.85,95.0,0.88,space,hubble_tension,True,documented_gap,Hubble tension: local H0 ~73 vs Planck ~67.4
5.0,22.793055165069763,0.5228787452803376,0.0,0.0,0.73,25.0,0.78,land,omnitrophota,True,documented_gap,"Omnitrophota: globally common, almost uncultured (lab clock ≠ environmental clock)"
4.16,18.0,-1.4771212547196626,0.0,0.0,0.56,98.0,0.6,humans,consciousness_discriminator,False,documented_gap,No discriminator for machine (or animal) consciousness
2.0,18.0,0.0,0.0,0.0,0.85,50.0,0.8,animals,magnetoreceptor,True,documented_gap,Magnetoreceptor cell unlocated after ~60 years
0.0,0.0,-5.595716619943424,0.0,0.0,0.56,40.0,0.85,humans,anesthesia_maintenance,False,documented_gap,"Anesthesia: initiation known, maintenance unagreed after ~180 years"
